zip_code,zcta,zip_to_zcta_relationship,latitude,longitude
01450,01450,Zip Matches ZCTA,42.61176,-71.565269
01451,01451,Zip Matches ZCTA,42.501908,-71.568201
01452,01452,Zip Matches ZCTA,42.489598,-72.002878
01453,01453,Zip Matches ZCTA,42.519967,-71.763319
01460,01460,Zip Matches ZCTA,42.535931,-71.490569
01462,01462,Zip Matches ZCTA,42.582607,-71.720464
01463,01463,Zip Matches ZCTA,42.670643,-71.602858
01464,01464,Zip Matches ZCTA,42.573654,-71.640986
01467,01467,Zip matches ZCTA,42.489646,-71.609577
01468,01468,Zip Matches ZCTA,42.542767,-72.068345
01469,01469,Zip Matches ZCTA,42.664828,-71.695087
01470,01450,Spatial join to ZCTA,42.61176,-71.565269
01471,01450,Spatial join to ZCTA,42.61176,-71.565269
01472,01450,Spatial join to ZCTA,42.61176,-71.565269
01473,01473,Zip Matches ZCTA,42.5546,-71.90544
01474,01474,Zip Matches ZCTA,42.669685,-71.752751
01475,01475,Zip Matches ZCTA,42.66816,-72.055644
01501,01501,Zip Matches ZCTA,42.198708,-71.846006
01503,01503,Zip Matches ZCTA,42.384929,-71.633889
01504,01504,Zip Matches ZCTA,42.039991,-71.532406
01505,01505,Zip Matches ZCTA,42.355049,-71.716157
01506,01506,Zip Matches ZCTA,42.180788,-72.107891
01507,01507,Zip Matches ZCTA,42.133935,-71.968025
01508,01507,Spatial join to ZCTA,42.133935,-71.968025
01509,01507,Spatial join to ZCTA,42.133935,-71.968025
01510,01510,Zip Matches ZCTA,42.411887,-71.690005
01515,01515,Zip Matches ZCTA,42.209682,-72.040178
01516,01516,Zip Matches ZCTA,42.053072,-71.752241
01518,01518,Zip Matches ZCTA,42.127477,-72.118818
01519,01519,Zip Matches ZCTA,42.203404,-71.679739
01520,01520,Zip Matches ZCTA,42.336372,-71.850626
01521,01521,Zip Matches ZCTA,42.046813,-72.180135
01522,01522,Zip Matches ZCTA,42.375634,-71.867382
01523,01523,Zip Matches ZCTA,42.483569,-71.675585
01524,01524,Zip Matches ZCTA,42.249603,-71.919217
01525,01525,Zip matches ZCTA,42.106794,-71.630518
01526,01590,Spatial join to ZCTA,42.132051,-71.750318
01527,01527,Zip Matches ZCTA,42.192246,-71.777649
01529,01529,Zip Matches ZCTA,42.036642,-71.578779
01531,01531,Zip Matches ZCTA,42.319125,-72.130814
01532,01532,Zip Matches ZCTA,42.323342,-71.646236
01534,01534,Zip Matches ZCTA,42.142074,-71.643348
01535,01535,Zip Matches ZCTA,42.267564,-72.066876
01536,01536,Zip Matches ZCTA,42.231309,-71.692642
01537,01537,Zip Matches ZCTA,42.158966,-71.897051
01538,01569,Spatial join to ZCTA,42.05593,-71.631232
01540,01540,Zip Matches ZCTA,42.116263,-71.857465
01541,01541,Zip Matches ZCTA,42.454125,-71.87754
01542,01542,Zip Matches ZCTA,42.204251,-71.908907
01543,01543,Zip Matches ZCTA,42.388285,-71.969865
01545,01545,Zip Matches ZCTA,42.284767,-71.714228
01546,01545,Spatial join to ZCTA,42.284767,-71.714228
01550,01550,Zip Matches ZCTA,42.059737,-72.033908
01560,01560,Zip Matches ZCTA,42.175395,-71.674223
01561,01561,Zip Matches ZCTA,42.44397,-71.685583
01562,01562,Zip Matches ZCTA,42.247211,-71.991867
01564,01564,Zip Matches ZCTA,42.447924,-71.776045
01566,01566,Zip Matches ZCTA,42.103214,-72.079545
01568,01568,Zip Matches ZCTA,42.176526,-71.603588
01569,01569,Zip Matches ZCTA,42.05593,-71.631232
01570,01570,Zip Matches ZCTA,42.047532,-71.846952
01571,01571,Zip Matches ZCTA,42.053778,-71.935075
01581,01581,Zip Matches ZCTA,42.268426,-71.613309
01583,01583,Zip Matches ZCTA,42.369417,-71.785036
01585,01585,Zip Matches ZCTA,42.240796,-72.162645
01586,01527,Spatial join to ZCTA,42.192246,-71.777649
01588,01588,Zip Matches ZCTA,42.118794,-71.672494
01590,01590,Zip Matches ZCTA,42.132051,-71.750318
01601,01608,Spatial join to ZCTA,42.26198,-71.801462
01602,01602,Zip Matches ZCTA,42.269189,-71.850728
01603,01603,Zip Matches ZCTA,42.243826,-71.843569
01604,01604,Zip Matches ZCTA,42.253254,-71.767957
01605,01605,Zip Matches ZCTA,42.289683,-71.787793
01606,01606,Zip Matches ZCTA,42.315249,-71.795741
01607,01607,Zip Matches ZCTA,42.225974,-71.788894
01608,01608,Zip Matches ZCTA,42.26198,-71.801462
01609,01609,Zip Matches ZCTA,42.285114,-71.829987
01610,01610,Zip Matches ZCTA,42.247049,-71.808366
01611,01611,Zip Matches ZCTA,42.237604,-71.875838
01612,01612,Zip Matches ZCTA,42.296798,-71.928991
01613,01605,Spatial join to ZCTA,42.289683,-71.787793
01614,01608,Spatial join to ZCTA,42.26198,-71.801462
01615,01605,Spatial join to ZCTA,42.289683,-71.787793
01653,01605,Spatial join to ZCTA,42.289683,-71.787793
01655,01605,Spatial join to ZCTA,42.289683,-71.787793
01701,01701,Zip Matches ZCTA,42.319587,-71.4428
01702,01702,Zip Matches ZCTA,42.282379,-71.436621
01703,01701,Spatial join to ZCTA,42.319587,-71.4428
01704,01701,Spatial join to ZCTA,42.319587,-71.4428
01705,01701,Spatial join to ZCTA,42.319587,-71.4428
01718,01718,Zip Matches ZCTA,42.519816,-71.429283
01719,01719,Zip Matches ZCTA,42.485985,-71.520985
01720,01720,Zip Matches ZCTA,42.483953,-71.438495
01721,01721,Zip Matches ZCTA,42.257755,-71.473526
01730,01730,Zip Matches ZCTA,42.499295,-71.281889
01731,01731,Zip Matches ZCTA,42.456754,-71.279477
01740,01740,Zip Matches ZCTA,42.439941,-71.601879
